Selling_Price,Present_Price,Kms_Driven,Transmission,Owner,Age,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_Petrol,Seller_Type_Dealer,Seller_Type_Individual
3.35,5.59,27000,1,0,6,0,0,1,1,0
4.75,9.54,43000,1,0,7,0,1,0,1,0
7.25,9.85,6900,1,0,3,0,0,1,1,0
2.85,4.15,5200,1,0,9,0,0,1,1,0
4.6,6.87,42450,1,0,6,0,1,0,1,0
9.25,9.83,2071,1,0,2,0,1,0,1,0
6.75,8.12,18796,1,0,5,0,0,1,1,0
6.5,8.61,33429,1,0,5,0,1,0,1,0
8.75,8.89,20273,1,0,4,0,1,0,1,0
7.45,8.92,42367,1,0,5,0,1,0,1,0
2.85,3.6,2135,1,0,3,0,0,1,1,0
6.85,10.38,51000,1,0,5,0,1,0,1,0
7.5,9.94,15000,0,0,5,0,0,1,1,0
6.1,7.71,26000,1,0,5,0,0,1,1,0
2.25,7.21,77427,1,0,11,0,0,1,1,0
7.75,10.79,43000,1,0,4,0,1,0,1,0
7.25,10.79,41678,1,0,5,0,1,0,1,0
7.75,10.79,43000,1,0,4,0,1,0,1,0
3.25,5.09,35500,1,0,5,1,0,0,1,0
2.65,7.98,41442,1,0,10,0,0,1,1,0
2.85,3.95,25000,1,0,4,0,0,1,1,0
4.9,5.71,2400,1,0,3,0,0,1,1,0
4.4,8.01,50000,0,0,9,0,0,1,1,0
2.5,3.46,45280,1,0,6,0,0,1,1,0
2.9,4.41,56879,1,0,7,0,0,1,1,0
3.0,4.99,20000,1,0,9,0,0,1,1,0
4.15,5.87,55138,1,0,7,0,0,1,1,0
6.0,6.49,16200,1,0,3,0,0,1,0,1
1.95,3.95,44542,1,0,10,0,0,1,1,0
7.45,10.38,45000,1,0,5,0,1,0,1,0
3.1,5.98,51439,1,0,8,0,1,0,1,0
2.35,4.89,54200,1,0,9,0,0,1,1,0
4.95,7.49,39000,1,0,6,0,1,0,1,0
6.0,9.95,45000,1,0,6,0,1,0,1,0
5.5,8.06,45000,1,0,6,0,1,0,1,0
2.95,7.74,49998,1,0,9,1,0,0,1,0
4.65,7.2,48767,1,0,5,0,0,1,1,0
3.0,3.76,10079,1,0,4,0,0,1,1,0
5.85,7.87,24524,0,0,4,0,0,1,1,0
2.55,3.98,46706,1,0,6,0,0,1,1,0
1.95,7.15,58000,1,0,12,0,0,1,1,0
5.5,8.06,45780,1,0,6,0,1,0,1,0
1.25,2.69,50000,1,0,8,0,0,1,1,0
7.5,12.04,15000,0,0,6,0,0,1,1,0
2.65,4.89,64532,1,0,7,0,0,1,1,0
5.8,7.71,25870,1,0,5,0,0,1,1,0
7.75,9.29,37000,0,0,3,0,0,1,1,0
3.6,15.04,70000,0,0,11,0,0,1,1,0
4.5,7.27,40534,1,0,5,0,0,1,1,0
4.75,18.54,50000,1,0,10,0,0,1,1,0
4.1,6.8,39485,1,1,6,0,0,1,1,0
6.95,18.61,40001,1,0,7,0,0,1,1,0
4.5,7.7,40588,1,0,5,0,0,1,1,0
4.75,6.95,45000,1,0,6,0,1,0,1,0
9.25,20.45,59000,1,0,10,0,1,0,1,0
4.35,13.74,88000,1,0,9,0,0,1,1,0
3.95,6.76,71000,1,0,6,0,1,0,1,0
4.5,12.48,45000,1,0,9,0,1,0,1,0
7.45,18.61,56001,1,0,7,0,0,1,1,0
2.65,5.71,43000,1,0,9,0,0,1,1,0
4.9,8.93,83000,1,0,6,0,1,0,1,0
3.95,6.8,36000,1,0,5,0,0,1,1,0
5.5,14.68,72000,1,0,7,0,0,1,1,0
5.25,22.83,80000,0,0,10,0,0,1,1,0
4.75,7.85,40000,1,0,5,0,1,0,1,0
12.5,13.46,38000,1,0,5,0,1,0,1,0
5.9,13.74,56000,1,0,8,0,0,1,1,0
3.45,6.05,47000,1,0,7,0,0,1,1,0
4.75,6.76,40000,1,0,6,0,0,1,1,0
3.8,18.61,62000,1,0,11,0,0,1,1,0
11.25,16.09,58242,1,0,6,0,1,0,1,0
4.0,22.78,89000,0,0,12,0,0,1,1,0
5.85,18.61,72000,1,0,8,0,0,1,1,0
7.05,18.61,45000,1,0,7,0,0,1,1,0
9.65,20.45,50024,1,0,10,0,1,0,1,0
1.75,1.9,3000,1,0,4,0,0,1,0,1
1.7,1.82,1400,1,0,3,0,0,1,0,1
1.65,1.78,4000,1,0,3,0,0,1,0,1
1.45,1.6,1200,1,0,3,0,0,1,0,1
1.35,1.47,4100,1,0,3,0,0,1,0,1
1.35,2.37,21700,1,0,5,0,0,1,0,1
1.35,3.45,16500,1,1,6,0,0,1,0,1
1.25,1.5,15000,1,0,7,0,0,1,0,1
1.2,1.5,18000,1,0,4,0,0,1,0,1
1.2,1.47,11000,1,0,3,0,0,1,0,1
1.2,1.78,6000,1,0,4,0,0,1,0,1
1.15,1.5,8700,1,0,4,0,0,1,0,1
1.15,2.4,7000,1,0,6,0,0,1,0,1
1.15,1.4,35000,1,0,4,0,0,1,0,1
1.15,1.47,17000,1,0,5,0,0,1,0,1
1.11,1.47,17500,1,0,5,0,0,1,0,1
1.1,1.47,33000,1,0,7,0,0,1,0,1
1.1,1.9,14000,1,0,5,0,0,1,0,1
1.1,1.47,26000,1,0,5,0,0,1,0,1
1.05,1.9,5400,1,0,7,0,0,1,0,1
1.05,1.26,5700,1,0,4,0,0,1,0,1
1.05,1.5,6900,1,0,9,0,0,1,0,1
1.05,1.17,6000,1,0,4,0,0,1,0,1
1.0,1.47,46500,1,0,7,0,0,1,0,1
0.95,1.75,11500,1,0,8,0,0,1,0,1
0.9,1.75,40000,1,0,11,0,0,1,0,1
0.9,0.95,1300,1,0,3,0,0,1,0,1
0.75,0.8,7000,1,0,4,0,0,1,0,1
0.8,0.87,3000,1,0,3,0,0,1,0,1
0.78,0.84,5000,1,0,3,0,0,1,0,1
0.75,0.87,11000,1,0,3,0,0,1,0,1
0.75,0.82,18000,1,0,5,0,0,1,0,1
0.75,0.95,3500,1,0,3,0,0,1,0,1
0.72,0.95,500,1,0,4,0,0,1,0,1
0.65,0.81,11800,1,0,3,0,0,1,0,1
0.65,0.74,5000,1,0,5,0,0,1,0,1
0.65,1.2,23500,1,0,6,0,0,1,0,1
0.65,0.787,16000,1,0,7,0,0,1,0,1
0.6,0.87,15000,1,0,4,0,0,1,0,1
0.6,0.95,16600,1,0,5,0,0,1,0,1
0.6,1.2,32000,1,0,7,0,0,1,0,1
0.6,0.8,20000,1,0,4,0,0,1,0,1
0.6,0.84,29000,1,0,5,0,0,1,0,1
0.6,0.84,25000,1,0,4,0,0,1,0,1
0.6,0.99,25000,1,0,6,0,0,1,0,1
0.6,0.81,19000,1,0,8,0,0,1,0,1
0.55,0.787,15000,1,0,6,0,0,1,0,1
